Item,Cost,Notes,Date delivered,Who's account?
Interface Port Magnetic Encoder Serial AS5048A PWM Peripheral Magnetic Encoder Module for Machine Equipment,18.29,Amazon,23/11/2025,Arfred
Caianwin 50PCS Thread Insert M3 Brass Heat Set Insert for for Plastic and 3D Printing Components - Brass Metric Knurled Nuts,5.99,Amazon,07/12/2025,Arfred
Caianwin 50PCS Thread Insert M2 Brass Heat Set Insert for for Plastic and 3D Printing Components - Brass Metric Knurled Nuts,4.99,Amazon,07/12/2025,Arfred
"M5 Angle Ball Joint, M5x0.8 Right Hand Thread, A3-Steel Self-lubricating Ball Socket End Fitting",5.69,Amazon,08/12/2025,Arfred
"sourcing map 5pcs HTD-3M Rubber Timing Belt 67 Teeth, 201mm Pitch Length x 6mm Width x 2.4mm Height, Closed Loop Pulley Timing Belt",8.09,Amazon,08/12/2025,Arfred
"TOP-VIGOR 10Pcs 6801-2RS Deep Groove Ball Bearings, Z2 12mm x 21mm x 5mm Double Sealed Industrial Bearings, Chrome Steel P6(ABEC3) Skateboard Bearings for Electrical Instrument Equipment",9.59,Amazon,08/12/2025,Arfred
Order from orbital fasteners (screws),5.56,two orders,-,Arfred
Hi-Spec 101pc 1/4” Hex Multi Bit Screwdriver Set & Ratchet Handle Set - Tamper Proof & Torx Security Driver Bits in Storage Case Holder for Easy Repairs,17.99,Amazon,12/12/2025,Arfred
"STANLEY SORTMASTER 12-Compartment Tool Organiser, Seal-Tight Professional Tool Organiser with Removable Compartments, For Small Parts and Tool Storage, 1-94-745",9.99,Amazon,12/12/2025,Arfred
HUAREW 4 Values 20 Pcs 6.3x25 mm BS1362 3 5 10 13 A amp 240 V volt 0.248x0.984 Inch Ceramic Tube Fuses Assortment Kit,3.99,Amazon,12/12/2025,Arfred
"HUAREW 5Pcs Rocker Switch Red Light Illuminated, ON/Off SPST 3 Pin 3 Position Boat Rocker Toggle Switch Snap AC 250V/15A 125V/20A KCD3-101",7.89,Amazon,20/01/2026,Arfred
DC-DC 5A Buck Converter 4-38V to 1.25-36V Voltage Regulator High Power Module with LED Display,12.99,Amazon,20/01/2026,Urban
DeWalt DCB182 18V 4.0Ah Battery + DCB1104 18V Li-Ion Multi Voltage Charger,62.99,Amazon,23/01/2026,Urban
"164 Pcs Heat Shrink Tubing kit, Electric Insulation Heat Shrink Wrap Cable 1 Sleeve,5 Colors in 8 Sizes | B0F6JSDLSZ",3.49,Amazon,20/01/2026,Urban
"EPLOZN 2PCS 6.8""x2.05"" & 2PCS 3.5""x2.05"" Breadboard Kit Solderable Breadboards for Electronics Projects Compatible for DIY Soldering Circuits Projects Prototype Board,Black | B0DCZM7ZVC",9.49,Amazon,20/01/2026,Urban
"GH Connectors to Dupont 2.54 Pre-Crimped Cables and Connectors Kit 1 Compatible with JST GH 1.25mm for Pixhawk Cube 6C 6X Pixhawk4 20cm
Silicone Wire | B0CLD7S5VC",16.99,Amazon,20/01/2026,Urban
"LATERN 10Pcs Plastic Spring Clamps, 6 Inch Extra Strength Work Clips Heavy Duty Plastic Muslin Clamps for Photo Studio Woodwork Artwork | B088YS2BLP",11.99,Amazon,20/01/2026,Urban
Fermerry 20 AWG Electrical Wire 0.5mm2 Flexible Silicone Tinned Copper Wire Hook up Kit Stranded Wire Spool 25ft Each 6 Colors Gauge | B089CXJPSC,17.09,Amazon,20/01/2026,Urban
"16 Gauge Silicone Wire, 16 AWG Electrical Cable 5M(2.5m Red & 2.5m Black)Soft & Flexible 252 Strands of 0.08 mm Tinned Copper High Temperature Resistant Wire for Arduino Projects/RC Cars/Boat/Drones | B0DD3XT1Q9",7.59,Amazon,20/01/2026,Urban
"Gebildet 10A Low Profile Mini/APS, ATT Blade Car Fuses 10Amp 1 Automotive Fusibles for RV Auto Motorcycle Truck (Pack of 20Pcs) |
B0F9XY9FCQ",3.99,Amazon,20/01/2026,Urban
"POFET Battery Adapter Power Wheels Adaptor for Dewalt 18-20V Battery 1 Dock Power Connector with Switch Fuse for RC Car Toys Robotics |
B0CBBMVBNH",11.99,Amazon,20/01/2026,Urban
"Innfeeltech 1Pcs Terminal Block Distribution Box 160A 1 In 6 Out, Din Rail Terminal Blocks Distribution Box Blue Shell | B0FC1ZQM6X",15.98,Amazon,20/01/2026,Urban
"YIXISI 30 PCS PCB Mount Screw Terminal Block, 2.54mm Pitch 2 Pin 1 Screw Terminal Block Connector, for Arduino DIY Project, Green |
B0CBWWL1WS",6.99,Amazon,20/01/2026,Urban
"SOMELINE Crimping Tool and Connector Kit, 24 Types of JST Connectors (SH 1.0mm, GH 1.25mm, ZH 1.5mm, PH 2.0mm) – 0.03–0.34mm² (32–22 AWG) Wire Crimper Pliers, Compatible with Molex, TE and JST Series",35.98,Amazon,-,Urban
Fermerry 28 AWG Electrical Wire 0.08mm² Flexible Silicone Tinned Copper Wire Hook up Kit Stranded Wire Spool 10ft 3 Meter Each 6 Colors Gauge,10.09,Amazon,-,Urban
"QWORK® 12 AWG 3.3mm² Silicone Wire, 3 m Black 3 m Red, 1050 Strands Tinned Copper Electrical Cable Flexible Battery Cable",9.99,Amazon,-,Urban
"RS PRO Igus Linear Guide Carriage N, 300N Dynamic Load, 27mm Rail Width (Qty 2)",9.5,RS Pro,-,Urban
"RS PRO Igus N Series NS-01-27-1000 Linear Guide Rail, 27mm width, 1000mm Length",29.69,RS Pro,-,Urban
"RS PRO 10A Inline Fuse Holder for 5x20mm Fuse, 250V (Qty 2)",4.4,RS Pro,-,Urban
"RS PRO Angle Bracket, Connecting Component, Strut Profile 20 mm, Groove Size 5mm (Qty 2)",15.73,RS Pro,-,Urban
"RS PRO M4 T-Slot Nut, Connecting Component, Strut Profile 20 mm, Groove Size 5mm (Qty 2)",19.82,RS Pro,-,Urban
"RS PRO Silver Aluminium Profile Strut, 20 x 20 mm, 5mm Groove, 1000mm Length (Qty 6)",61.86,RS Pro,-,Urban
"ODrive Micro (total incl. shipping; orig. $98.75 USD, converted @0.749)",73.96,Odrive,-,Urban
"GIM3505-8 Motor x2, only motor (total incl. shipping; orig. $169.49 USD, converted @0.749)",126.95,SteadyWin,-,Urban
"SHCSM040008S M4x8 Socket Cap HD Screw [Box 200] DIN 91, SKU: 1891070 (Qty 100)",2.74,Orbital Fasteners,-,Urban
"SHCSM040014S M4x14 Socket Cap HD Screw [Box 200] DIN 91, SKU: 1891095 (Qty 80)",2.27,Orbital Fasteners,-,Urban
"MAPPM0250122 M2.5x12 Pan Pozi M/Screw A2 DIN 7985, SKU: 2099928 (Qty 80)",1.11,Orbital Fasteners,-,Urban
"MMPPM025010Z M2.5x10 Pan Pozi M/Screw BZP DIN 7985 [Box 500], SKU: 4993430 (Qty 80)",0.65,Orbital Fasteners,-,Urban